baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
21.189369449133956,4.216213012859688,0.7818246231527717,5.392786167129739,6.937349123574523e-8,1.613627406143434e-5,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__,unassigned
10.748455952118182,3.5505161338984657,0.8496334353220136,4.178879957275703,2.9294825269985668e-5,0.002433562984928095,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
33.58980823398242,3.302806014465006,1.0330154352057204,3.19724749689463,0.0013874582495933296,0.034653235342422255,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__1959-1,s__,unassigned
23.146683155123426,-30,0.8307711286942228,-36.11102861404555,1.522574489623639e-285,3.541508262864584e-282,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__,fermentationaerobic_chemoheterotrophy
18.654106259666932,3.633101396082644,0.7592697111903152,4.784994505295085,1.709920105284139e-6,2.485796353056817e-4,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
15.589980531233754,4.1646445206714375,0.8475245540531582,4.9138924657163665,8.928573410446192e-7,1.7306551460581537e-4,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Phaselicystidaceae,g__Phaselicystis,s__,unassigned
13.185852796392393,1.6212201821485328,0.49826792080336335,3.2537117371205033,0.0011390780199358088,0.03154161279012728,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__Nordella,s__,unassigned
4.519268282063925,3.2574876581159993,1.043176403750943,3.122662328636912,0.0017922324150435077,0.040083967282607685,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__JG30-KF-AS9,g__,s__,unassigned
7.251410394290045,3.0800565475726827,0.9078959639114694,3.392521467220692,6.925250525757616e-4,0.024041989138674946,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
12.29496144228979,3.954567542460678,0.950653111652491,4.159842842765828,3.184666493544727e-5,0.00255432215999484,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
12.38258776169288,3.6517325196811363,0.8567168919316912,4.262472882316298,2.021770396403283e-5,0.0018087069007823215,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__,aerobic_chemoheterotrophy
6.671781248880115,2.3443451835530498,0.7607142454922907,3.0817684793531424,0.0020577481646882976,0.043911213129036515,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
13.562805348095463,3.752851109031845,0.9099567677156954,4.124208140627156,3.720123764572448e-5,0.0027382479052998764,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__,aerobic_chemoheterotrophyureolysis
12.712783582596591,3.3961999358415884,0.9301144252231733,3.6513786301364997,2.6083635979000266e-4,0.012639695268157213,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
14.772865542309377,1.3518886870101905,0.4073817673713985,3.318481079143907,9.050845410244817e-4,0.027958242828591624,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
13.15401142350597,2.677776931746993,0.8786667115309231,3.047545669599153,0.002307184642493569,0.04791528105750037,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__Acidibacter,s__,unassigned
9.472471608719422,2.765789475567978,0.8547046144565511,3.2359594517066657,0.0012123460448610782,0.03241283793502147,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,unassigned
15.979008430229905,2.566362790213797,0.7853511280320411,3.26779028973279,0.0010839064690942837,0.03140856784153353,k__Bacteria,p__Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas,s__,unassigned
11.253118235019732,2.3949860886537495,0.7222750385252883,3.3158920922197925,9.13510943668514e-4,0.027958242828591624,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
3.8860505085997126,2.9054950320556614,0.9439922093063865,3.077880308133603,0.00208478632050366,0.04408375437719557,k__Bacteria,p__Chloroflexi,c__AD3,o__,f__,g__,s__,unassigned
8.94231833165112,2.4624752236296206,0.7863457211051265,3.131542726739671,0.001738904813474023,0.03926886015670464,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
11.929563407415223,2.920170400518737,0.8778860396056418,3.3263661440960113,8.798626814466336e-4,0.027656224284390133,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
4.961588001708015,2.418040852360168,0.6653209753984973,3.6343974438982185,2.7863106167389906e-4,0.013226445907214066,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Tundrisphaera,s__,aerobic_chemoheterotrophy
6.849140983268057,3.0713053978195775,0.8878481905910929,3.4592686343988923,5.416443962463592e-4,0.021015614410027257,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Tundrisphaera,s__,aerobic_chemoheterotrophy
10.997389594701737,2.215168766107504,0.6284999677903143,3.5245328235984066,4.2423025221610347e-4,0.017620706547404583,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__,aerobic_chemoheterotrophy
17.712746127894974,4.549207124839054,1.0401924762660102,4.373428215102449,1.223104754986714e-5,0.0012367852009016632,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__,unassigned
8.370505782502097,1.9776232112875305,0.5919670508235154,3.3407656871043048,8.354770009790086e-4,0.026620815127084575,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
