"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"g__MM1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__MM1",NA,NA,"g__MM1"
"g__Candidatus Megaira","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Candidatus Megaira",NA,NA,"g__Candidatus Megaira"
"g__Blastomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Blastomonas",NA,NA,"g__Blastomonas"
"Unclass_c__Lineage IIc","k__Bacteria","p__Elusimicrobiota","c__Lineage IIc","o__","f__","Unclass_c__Lineage IIc",NA,NA,"Unclass_c__Lineage IIc"
"g__Thermocatellispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Thermocatellispora",NA,NA,"g__Thermocatellispora"
"g__Salinispira","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Salinispira",NA,NA,"g__Salinispira"
"g__Longimycelium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Longimycelium",NA,NA,"g__Longimycelium"
"Unclass_f__MWH-CFBk5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__MWH-CFBk5","Unclass_f__MWH-CFBk5",NA,NA,"Unclass_f__MWH-CFBk5"
"g__Williamsia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Williamsia",NA,NA,"g__Williamsia"
"Unclass_f__Hungateiclostridiaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Hungateiclostridiaceae","Unclass_f__Hungateiclostridiaceae",NA,NA,"Unclass_f__Hungateiclostridiaceae"
"g__Scytonema UTEX 2349","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Scytonema UTEX 2349",NA,NA,"g__Scytonema UTEX 2349"
"g__Actinoalloteichus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinoalloteichus",NA,NA,"g__Actinoalloteichus"
"g__Aquipuribacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Aquipuribacter",NA,NA,"g__Aquipuribacter"
"g__Aliterella","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Chroococcidiopsaceae","g__Aliterella",NA,NA,"g__Aliterella"
"g__Kamptonema PCC-6407","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Kamptonema PCC-6407",NA,NA,"g__Kamptonema PCC-6407"
"Unclass_f__Cryomorphaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Cryomorphaceae","Unclass_f__Cryomorphaceae",NA,NA,"Unclass_f__Cryomorphaceae"
"g__CL500-3","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__CL500-3",NA,NA,"g__CL500-3"
"Unclass_f__Streptosporangiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","Unclass_f__Streptosporangiaceae",NA,NA,"Unclass_f__Streptosporangiaceae"
"g__Raoultella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Raoultella",NA,NA,"g__Raoultella"
