"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Didymocyrtis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","lichen_parasite","ft_338"
"g__Metacordyceps","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metacordyceps","animal_parasite","ft_339"
"g__Scleroconidioma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Scleroconidioma","plant_pathogen","ft_340"
"g__Apophysomyces","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Saksenaeaceae","g__Apophysomyces","soil_saprotroph","ft_341"
"g__Myxarium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Myxarium","wood_saprotroph","ft_342"
"g__Diversispora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae","g__Diversispora","arbuscular_mycorrhizal","ft_343"
"g__Marjia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Marjia","wood_saprotroph","ft_344"
"Unclass_f__Hypocreales_fam_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","Unclass_f__Hypocreales_fam_Incertae_sedis",NA,"ft_345"
"g__Trichophaeopsis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Trichophaeopsis","litter_saprotroph","ft_346"
"g__Spirosphaera","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Spirosphaera","litter_saprotroph","ft_347"
"g__Microdochium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Microdochium","plant_pathogen","ft_348"
"Unclass_f__Leptosphaeriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","Unclass_f__Leptosphaeriaceae",NA,"ft_349"
"g__Harpochytrium","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Harpochytriaceae","g__Harpochytrium","litter_saprotroph","ft_350"
