"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"Unclass_f__Frankiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Frankiaceae","Unclass_f__Frankiaceae",NA,NA,"Unclass_f__Frankiaceae","bt_689"
"Unclass_o__SAR202 clade","k__Bacteria","p__Chloroflexi","c__Dehalococcoidia","o__SAR202 clade","f__","Unclass_o__SAR202 clade",NA,NA,"Unclass_o__SAR202 clade","bt_690"
"Unclass_f__Cytophagaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cytophagaceae","Unclass_f__Cytophagaceae",NA,NA,"Unclass_f__Cytophagaceae","bt_691"
"g__Lysinimonas","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Lysinimonas",NA,NA,"g__Lysinimonas","bt_692"
"g__Nitrolancea","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__Thermomicrobiaceae","g__Nitrolancea",NA,NA,"g__Nitrolancea","bt_693"
"g__Ktedonobacter","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__Ktedonobacter",NA,NA,"g__Ktedonobacter","bt_694"
"Unclass_o__PB19","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__PB19","f__","Unclass_o__PB19",NA,NA,"Unclass_o__PB19","bt_695"
"g__Kutzneria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Kutzneria",NA,NA,"g__Kutzneria","bt_696"
"g__Pseudenhygromyxa","k__Bacteria","p__Myxococcota","c__Polyangia","o__Nannocystales","f__Nannocystaceae","g__Pseudenhygromyxa",NA,NA,"g__Pseudenhygromyxa","bt_697"
"g__Limibaculum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Limibaculum",NA,NA,"g__Limibaculum","bt_698"
"Unclass_f__Fibrobacteraceae","k__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","Unclass_f__Fibrobacteraceae",NA,NA,"Unclass_f__Fibrobacteraceae","bt_699"
"g__Cryptosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Cryptosporangiaceae","g__Cryptosporangium",NA,NA,"g__Cryptosporangium","bt_700"
"g__Constrictibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__","g__Constrictibacter",NA,NA,"g__Constrictibacter","bt_701"
"g__RS25G","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__RS25G",NA,NA,"g__RS25G","bt_702"
"Unclass_o__Entomoplasmatales","k__Bacteria","p__Firmicutes","c__Bacilli","o__Entomoplasmatales","f__","Unclass_o__Entomoplasmatales",NA,NA,"Unclass_o__Entomoplasmatales","bt_703"
"g__Rurimicrobium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Rurimicrobium",NA,NA,"g__Rurimicrobium","bt_704"
"Unclass_o__Elev-16S-1166","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Elev-16S-1166","f__","Unclass_o__Elev-16S-1166",NA,NA,"Unclass_o__Elev-16S-1166","bt_705"
"Unclass_o__B12-WMSP1","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__B12-WMSP1","f__","Unclass_o__B12-WMSP1",NA,NA,"Unclass_o__B12-WMSP1","bt_706"
"Unclass_o__Subgroup 12","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup 12","f__","Unclass_o__Subgroup 12",NA,NA,"Unclass_o__Subgroup 12","bt_707"
"g__Longispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Longispora",NA,NA,"g__Longispora","bt_708"
"Unclass_f__UBA12409","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__UBA12409","Unclass_f__UBA12409",NA,NA,"Unclass_f__UBA12409","bt_709"
"g__UBA6140","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__UBA6140",NA,NA,"g__UBA6140","bt_710"
"g__Candidimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Candidimonas",NA,NA,"g__Candidimonas","bt_711"
"g__Dechloromonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Dechloromonas",NA,NA,"g__Dechloromonas","bt_712"
"Unclass_f__LWQ8","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__LWQ8","Unclass_f__LWQ8",NA,NA,"Unclass_f__LWQ8","bt_713"
"g__Pseudoduganella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Pseudoduganella",NA,NA,"g__Pseudoduganella","bt_714"
"Unclass_c__AT-s3-28","k__Bacteria","p__Acidobacteriota","c__AT-s3-28","o__","f__","Unclass_c__AT-s3-28",NA,NA,"Unclass_c__AT-s3-28","bt_715"
"Unclass_f__Paludibacteraceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","Unclass_f__Paludibacteraceae",NA,NA,"Unclass_f__Paludibacteraceae","bt_716"
"g__Hymenobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Hymenobacter",NA,NA,"g__Hymenobacter","bt_717"
"Unclass_f__Paracaedibacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","Unclass_f__Paracaedibacteraceae",NA,NA,"Unclass_f__Paracaedibacteraceae","bt_718"
"Unclass_o__Polyangiales","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__","Unclass_o__Polyangiales",NA,NA,"Unclass_o__Polyangiales","bt_719"
"g__Rhodopila","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rhodopila",NA,NA,"g__Rhodopila","bt_720"
"g__Tenggerimyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Tenggerimyces",NA,NA,"g__Tenggerimyces","bt_721"
"Unclass_f__Rhodobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","Unclass_f__Rhodobacteraceae",NA,NA,"Unclass_f__Rhodobacteraceae","bt_722"
"g__Georgfuchsia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Georgfuchsia",NA,NA,"g__Georgfuchsia","bt_723"
"g__Serratia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia",NA,NA,"g__Serratia","bt_724"
"Unclass_f__Ardenticatenaceae","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Ardenticatenales","f__Ardenticatenaceae","Unclass_f__Ardenticatenaceae",NA,NA,"Unclass_f__Ardenticatenaceae","bt_725"
"g__Balneatrix","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Nitrincolaceae","g__Balneatrix",NA,NA,"g__Balneatrix","bt_726"
"g__Flaviaesturariibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flaviaesturariibacter",NA,NA,"g__Flaviaesturariibacter","bt_727"
"g__Bacteriovorax","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bacteriovoracales","f__Bacteriovoracaceae","g__Bacteriovorax",NA,NA,"g__Bacteriovorax","bt_728"
"g__Pseudopelobacter","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Pseudopelobacteraceae","g__Pseudopelobacter",NA,NA,"g__Pseudopelobacter","bt_729"
"g__Chiayiivirga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Chiayiivirga",NA,NA,"g__Chiayiivirga","bt_730"
"g__Derxia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Derxia",NA,NA,"g__Derxia","bt_731"
"g__JTB255 marine benthic group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Steroidobacterales","f__Woeseiaceae","g__JTB255 marine benthic group",NA,NA,"g__JTB255 marine benthic group","bt_732"
"g__Methylovirgula","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylovirgula",NA,NA,"g__Methylovirgula","bt_733"
"Unclass_o__Candidatus Nomurabacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Nomurabacteria","f__","Unclass_o__Candidatus Nomurabacteria",NA,NA,"Unclass_o__Candidatus Nomurabacteria","bt_734"
"g__Phreatobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Phreatobacter",NA,NA,"g__Phreatobacter","bt_735"
"g__Hoeflea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Hoeflea",NA,NA,"g__Hoeflea","bt_736"
"g__Nostoc PCC-73102","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Nostoc PCC-73102",NA,NA,"g__Nostoc PCC-73102","bt_737"
"Unclass_f__Eel-36e1D6","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Eel-36e1D6","Unclass_f__Eel-36e1D6",NA,NA,"Unclass_f__Eel-36e1D6","bt_738"
"Unclass_o__Chthoniobacterales","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__","Unclass_o__Chthoniobacterales",NA,NA,"Unclass_o__Chthoniobacterales","bt_739"
"g__Goodfellowiella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Goodfellowiella",NA,NA,"g__Goodfellowiella","bt_740"
"g__Methylibium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium",NA,NA,"g__Methylibium","bt_741"
"Unclass_o__Candidatus Uhrbacteria","k__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus Uhrbacteria","f__","Unclass_o__Candidatus Uhrbacteria",NA,NA,"Unclass_o__Candidatus Uhrbacteria","bt_742"
"Unclass_o__Candidatus Pacebacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Pacebacteria","f__","Unclass_o__Candidatus Pacebacteria",NA,NA,"Unclass_o__Candidatus Pacebacteria","bt_743"
"g__Ferritrophicum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sulfuricellaceae","g__Ferritrophicum",NA,NA,"g__Ferritrophicum","bt_744"
"g__Silvanigrella","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Silvanigrellales","f__Silvanigrellaceae","g__Silvanigrella",NA,NA,"g__Silvanigrella","bt_745"
"g__Lapillicoccus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Lapillicoccus",NA,NA,"g__Lapillicoccus","bt_746"
"Unclass_f__01D2Z36","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__01D2Z36","Unclass_f__01D2Z36",NA,NA,"Unclass_f__01D2Z36","bt_747"
"Unclass_f__Rickettsiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","Unclass_f__Rickettsiaceae",NA,NA,"Unclass_f__Rickettsiaceae","bt_748"
"g__Allocatelliglobosispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Allocatelliglobosispora",NA,NA,"g__Allocatelliglobosispora","bt_749"
"g__WCHB1-32","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prolixibacteraceae","g__WCHB1-32",NA,NA,"g__WCHB1-32","bt_750"
"g__Clostridium sensu stricto 1","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 1",NA,NA,"g__Clostridium sensu stricto 1","bt_751"
"g__Ensifer","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer",NA,NA,"g__Ensifer","bt_752"
"Unclass_o__Ga0077536","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Ga0077536","f__","Unclass_o__Ga0077536",NA,NA,"Unclass_o__Ga0077536","bt_753"
"g__Fictibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Fictibacillus",NA,NA,"g__Fictibacillus","bt_754"
"g__Georgenia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Bogoriellaceae","g__Georgenia",NA,NA,"g__Georgenia","bt_755"
"Unclass_f__Symbiobacteraceae","k__Bacteria","p__Firmicutes","c__Symbiobacteriia","o__Symbiobacteriales","f__Symbiobacteraceae","Unclass_f__Symbiobacteraceae",NA,NA,"Unclass_f__Symbiobacteraceae","bt_756"
"Unclass_f__Parachlamydiaceae","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Parachlamydiaceae","Unclass_f__Parachlamydiaceae",NA,NA,"Unclass_f__Parachlamydiaceae","bt_757"
"Unclass_f__Rhodothermaceae","k__Bacteria","p__Bacteroidota","c__Rhodothermia","o__Rhodothermales","f__Rhodothermaceae","Unclass_f__Rhodothermaceae",NA,NA,"Unclass_f__Rhodothermaceae","bt_758"
"g__Dokdonella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Dokdonella",NA,NA,"g__Dokdonella","bt_759"
"Unclass_o__Candidatus Yonathbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Yonathbacteria","f__","Unclass_o__Candidatus Yonathbacteria",NA,NA,"Unclass_o__Candidatus Yonathbacteria","bt_760"
"Unclass_f__Holosporaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Holosporales","f__Holosporaceae","Unclass_f__Holosporaceae",NA,NA,"Unclass_f__Holosporaceae","bt_761"
"g__Limnobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Limnobacter",NA,NA,"g__Limnobacter","bt_762"
"g__Sphingorhabdus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingorhabdus",NA,NA,"g__Sphingorhabdus","bt_763"
"g__Psychrobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Psychrobacillus",NA,NA,"g__Psychrobacillus","bt_764"
"g__OLB13","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__A4b","g__OLB13",NA,NA,"g__OLB13","bt_765"
"Unclass_f__Silvanigrellaceae","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Silvanigrellales","f__Silvanigrellaceae","Unclass_f__Silvanigrellaceae",NA,NA,"Unclass_f__Silvanigrellaceae","bt_766"
"Unclass_c__Subgroup 25","k__Bacteria","p__Acidobacteriota","c__Subgroup 25","o__","f__","Unclass_c__Subgroup 25",NA,NA,"Unclass_c__Subgroup 25","bt_767"
"Unclass_f__Muribaculaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","Unclass_f__Muribaculaceae",NA,NA,"Unclass_f__Muribaculaceae","bt_768"
"Unclass_f__Tepidisphaeraceae","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Tepidisphaerales","f__Tepidisphaeraceae","Unclass_f__Tepidisphaeraceae",NA,NA,"Unclass_f__Tepidisphaeraceae","bt_769"
"Unclass_f__WWH38","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__WWH38","Unclass_f__WWH38",NA,NA,"Unclass_f__WWH38","bt_770"
"g__PMMR1","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__PMMR1",NA,NA,"g__PMMR1","bt_771"
"g__Propionicicella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionicicella",NA,NA,"g__Propionicicella","bt_772"
"g__Rathayibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Rathayibacter",NA,NA,"g__Rathayibacter","bt_773"
"g__Parafilimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parafilimonas",NA,NA,"g__Parafilimonas","bt_774"
"g__Rhodovarius","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rhodovarius",NA,NA,"g__Rhodovarius","bt_775"
"Unclass_f__Oligoflexaceae","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Oligoflexales","f__Oligoflexaceae","Unclass_f__Oligoflexaceae",NA,NA,"Unclass_f__Oligoflexaceae","bt_776"
"g__Coxiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Coxiellales","f__Coxiellaceae","g__Coxiella",NA,NA,"g__Coxiella","bt_777"
"g__Acidiphilium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Acidiphilium",NA,NA,"g__Acidiphilium","bt_778"
"g__Niveibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Niveibacterium",NA,NA,"g__Niveibacterium","bt_779"
"Unclass_o__Babeliales","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__","Unclass_o__Babeliales",NA,NA,"Unclass_o__Babeliales","bt_780"
"g__Methylocapsa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylocapsa",NA,NA,"g__Methylocapsa","bt_781"
"g__Methylophilus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylophilus",NA,NA,"g__Methylophilus","bt_782"
"Unclass_c__Gracilibacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__","f__","Unclass_c__Gracilibacteria",NA,NA,"Unclass_c__Gracilibacteria","bt_783"
"Unclass_f__Cellvibrionaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Cellvibrionaceae","Unclass_f__Cellvibrionaceae",NA,NA,"Unclass_f__Cellvibrionaceae","bt_784"
"Unclass_c__Verrucomicrobiae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__","f__","Unclass_c__Verrucomicrobiae",NA,NA,"Unclass_c__Verrucomicrobiae","bt_785"
"g__Rufibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Rufibacter",NA,NA,"g__Rufibacter","bt_786"
"g__Catenuloplanes","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Catenuloplanes",NA,NA,"g__Catenuloplanes","bt_787"
"Unclass_o__Candidatus Woesebacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Woesebacteria","f__","Unclass_o__Candidatus Woesebacteria",NA,NA,"Unclass_o__Candidatus Woesebacteria","bt_788"
"g__Clostridium sensu stricto 9","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 9",NA,NA,"g__Clostridium sensu stricto 9","bt_789"
"g__Oerskovia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Oerskovia",NA,NA,"g__Oerskovia","bt_790"
"Unclass_o__WN-HWB-116","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__WN-HWB-116","f__","Unclass_o__WN-HWB-116",NA,NA,"Unclass_o__WN-HWB-116","bt_791"
"g__Falsirhodobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Falsirhodobacter",NA,NA,"g__Falsirhodobacter","bt_792"
"g__Hydrogenophaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hydrogenophaga",NA,NA,"g__Hydrogenophaga","bt_793"
"g__Vampirovibrio","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Vampirovibrionales","f__Vampirovibrionaceae","g__Vampirovibrio",NA,NA,"g__Vampirovibrio","bt_794"
"Unclass_p__Proteobacteria","k__Bacteria","p__Proteobacteria","c__","o__","f__","Unclass_p__Proteobacteria",NA,NA,"Unclass_p__Proteobacteria","bt_795"
"g__Terriglobus","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Terriglobus",NA,NA,"g__Terriglobus","bt_796"
"g__BD1-7 clade","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Spongiibacteraceae","g__BD1-7 clade",NA,NA,"g__BD1-7 clade","bt_797"
"Unclass_p__Patescibacteria","k__Bacteria","p__Patescibacteria","c__","o__","f__","Unclass_p__Patescibacteria",NA,NA,"Unclass_p__Patescibacteria","bt_798"
"Unclass_o__PLTA13","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__PLTA13","f__","Unclass_o__PLTA13",NA,NA,"Unclass_o__PLTA13","bt_799"
"Unclass_o__S-70","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__S-70","f__","Unclass_o__S-70",NA,NA,"Unclass_o__S-70","bt_800"
"g__Dolosigranulum","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Dolosigranulum",NA,NA,"g__Dolosigranulum","bt_801"
"Unclass_f__Micavibrionaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Micavibrionales","f__Micavibrionaceae","Unclass_f__Micavibrionaceae",NA,NA,"Unclass_f__Micavibrionaceae","bt_802"
"Unclass_o__Flavobacteriales","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__","Unclass_o__Flavobacteriales",NA,NA,"Unclass_o__Flavobacteriales","bt_803"
"g__Brevifollis","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Brevifollis",NA,NA,"g__Brevifollis","bt_804"
"g__I-8","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__I-8",NA,NA,"g__I-8","bt_805"
"g__Skermania","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Skermania",NA,NA,"g__Skermania","bt_806"
"Unclass_f__Neisseriaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Neisseriaceae","Unclass_f__Neisseriaceae",NA,NA,"Unclass_f__Neisseriaceae","bt_807"
"g__Anaerococcus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family XI","g__Anaerococcus",NA,NA,"g__Anaerococcus","bt_808"
"Unclass_o__Chlamydiales","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__","Unclass_o__Chlamydiales",NA,NA,"Unclass_o__Chlamydiales","bt_809"
