"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"53",53,"PCR_F_bc009","PCR_R_bc003","Nate","D55-D","ITS",0.378,"","D55-D-ITS","yes","10/24/23","220523",15,"T04","15-22.5",25.2,35.8667,2.03,"1.587301587",1.115240599,"C","","100uL","",0.356,3,1.068,"DO.DNA.Box.ID","D"
"54",54,"PCR_F_bc010","PCR_R_bc003","Nate","D56-D","ITS",1.87,"","D56-D-ITS","yes","10/24/23","200523",30,"T03","30-37.5",4.72,43.8,2.11,"8.474576271",0.9132420091,"D","","50uL","",0.0876,7,0.6132,"DO.DNA.Box.ID","D"
"55",55,"PCR_F_bc011","PCR_R_bc003","Nate","D57-D","ITS",1.26,"","D57-D-ITS","yes","10/25/23","220523",0,"T04","0-7.5",26.2,36.4,1.99,"1.526717557",1.098901099,"A","","","",0.43,3,1.29,"DO.DNA.Box.ID","D"
"56",56,"PCR_F_bc012","PCR_R_bc003","Nate","D58-D","ITS",0.99,"","D58-D-ITS","yes","10/25/23","260523",22.5,"T05","22.5-30",19.1,34.4,2.11,"2.094240838",1.162790698,"C","","150uL","",0.368,3,1.104,"DO.DNA.Box.ID","D"
"57",57,"PCR_F_bc013","PCR_R_bc003","Nate","D59-D","ITS",0.3,"","D59-D-ITS","yes","10/25/23","260523",30,"T05","30-37.5",0,30.7,2.09,"#DIV/0!",1.302931596,"D","","50uL","",0.692,2,1.384,"DO.DNA.Box.ID","D"
"58",58,"PCR_F_bc014","PCR_R_bc003","Nate","D60-D","ITS",0.378,"","D60-D-ITS","yes","10/31/23","280523",7.5,"T06","7.5-15",23.4,38.2,2.06,"1.709401709",1.047120419,"B","","50uL","",1.1,1,1.1,"DO.DNA.Box.ID","D"
"59",59,"PCR_F_bc015","PCR_R_bc003","Nate","D61-D","ITS",0.222,"","D61-D-ITS","yes","10/31/23","80523",15,"T02","15-22.5",36.2,34,2.09,"1.104972376",1.176470588,"A","","250uL","",0.608,3,1.824,"DO.DNA.Box.ID","D"
"60",60,"PCR_F_bc016","PCR_R_bc003","Nate","D62-D","ITS",1.56,"","D62-D-ITS","yes","10/31/23","280523",37.5,"T06","37.5-45",6.86,31.8,2.12,"5.83090379",1.257861635,"D","","","",0.183,5,0.915,"DO.DNA.Box.ID","D"
"61",61,"PCR_F_bc017","PCR_R_bc003","Nate","D63-D","ITS",0.0968,"","D63-D-ITS","yes","9/29/23","PCR WATER",NA,"","",NA,NA,NA,"",NA,"D","","","",0,1,0,"DO.DNA.Box.ID","D"
"62",62,"PCR_F_bc018","PCR_R_bc003","Nate","MMC","ITS",0.52,"","MMC-ITS","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"PCR_F_bc019","PCR_R_bc003","Nate","Negative","ITS",4.54,"","Negative-ITS","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",551,"PCR_F_bc023","PCR_R_bc023","Nate","D29-R","ITS",0,"","D29-R-ITS","no","10/31/23","280523",37.5,"T06","37.5-45",6.86,31.8,2.12,"5.83090379",1.257861635,"D","","","",0.183,5,0.915,"DO.RNA.Box.ID","R"
"65",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"10/31/23","80523",37.5,"T02","37.5-45",10.6,0.806,2.1,"3.773584906",49.62779156,"C","RNA good/not DNA",", DNA Mixed with another sample","",0.36,3,1.08,"DO.DNA.Box.ID",NA
